bI_0,alpha,new deaths,bI,bA,bP,R0
0.186,-0.257,6.2191562107013185,0.11628506972263801,0.058142534861319005,0.5814253486131901,0.23757039744334946

0.186,-0.257,6.319491886663415,0.11580775134536947,0.057903875672684735,0.5790387567268473,0.23659523599858986

0.186,-0.257,6.420139524806174,0.11533842492753373,0.05766921246376686,0.5766921246376686,0.23563640212695142

0.186,-0.257,6.5210904078074154,0.1148768841051686,0.0574384420525843,0.5743844205258429,0.23469347422685946

0.186,-0.257,6.622336007225736,0.11442292952119949,0.057211464760599746,0.5721146476059975,0.23376604501181059

0.186,-0.257,6.723868010291095,0.11397636840182523,0.05698818420091262,0.5698818420091262,0.23285372064492899

0.186,-0.257,6.825678313208275,0.11353701430524561,0.056768507152622806,0.567685071526228,0.23195612022561682

0.186,-0.257,6.927759016691479,0.11310468687195487,0.05655234343597743,0.5655234343597744,0.2310728752794038

0.186,-0.257,7.030102422743083,0.11267921158138225,0.056339605790691125,0.5633960579069113,0.230203629260764

0.186,-0.257,7.132701027585964,0.11226041953554686,0.05613020976777343,0.5613020976777343,0.22934803711112228

0.186,-0.257,7.235547522563316,0.1118481472202506,0.0559240736101253,0.559240736101253,0.228505764770972

0.186,-0.257,7.338634781946134,0.11144223632950953,0.055721118164754765,0.5572111816475477,0.227676488821188

0.186,-0.257,7.441955862477377,0.11104253355105785,0.055521266775528925,0.5552126677552892,0.22685989604481122

0.186,-0.257,7.545504022507388,0.11064889028861305,0.055324445144306525,0.5532444514430652,0.22605568285963648

0.186,-0.257,7.649272706158505,0.1102611625312187,0.05513058126560935,0.5513058126560935,0.22526355505127982

0.186,-0.257,7.753255488605193,0.10987921086734598,0.05493960543367299,0.5493960543367299,0.22448322780198787

0.186,-0.257,7.857446139901872,0.1095029000634747,0.05475145003173735,0.5475145003173735,0.2237144248296788

0.186,-0.257,7.96183858601012,0.10913209903721215,0.05456604951860607,0.5456604951860607,0.22295687833302447

0.186,-0.257,8.066426828095082,0.10876668096932109,0.05438334048466054,0.5438334048466055,0.222210329220323

0.186,-0.257,8.171205395822307,0.10840652157621151,0.05420326078810576,0.5420326078810576,0.22147452358020014

0.186,-0.257,8.276168424435268,0.1080515021572203,0.05402575107861015,0.5402575107861015,0.2207492189072011

0.186,-0.257,8.381310554448836,0.10770150632931377,0.05385075316465689,0.5385075316465688,0.22003417743078804

0.186,-0.257,8.486626490240024,0.1073564214181072,0.0536782107090536,0.536782107090536,0.219329168957193

0.186,-0.257,8.592111080870136,0.1070161380437608,0.0535080690218804,0.535080690218804,0.21863397002340332

0.186,-0.257,8.697759312362747,0.10668055001764726,0.05334027500882363,0.5334027500882363,0.2179483636860534

0.186,-0.257,8.803566310031915,0.106349554211612,0.053174777105806,0.53174777105806,0.21727213925432334

0.186,-0.257,8.909527328509919,0.10602305047130522,0.05301152523565261,0.5301152523565261,0.2166050921128766

0.186,-0.257,9.015637763203031,0.10570094146768894,0.05285047073384447,0.5285047073384447,0.2159470234184885

0.186,-0.257,9.121893118755407,0.10538313268453124,0.05269156634226562,0.5269156634226562,0.21529774007449734

0.186,-0.257,9.22828903483143,0.10506953223488599,0.052534766117442996,0.52534766117443,0.21465705435587212

0.186,-0.257,9.334821262505812,0.10476005083158442,0.05238002541579221,0.5238002541579221,0.21402478384892698

0.186,-0.257,9.44148570435349,0.10445460157521419,0.052227300787607095,0.5222730078760709,0.21340075101816258

0.186,-0.257,9.548278354717988,0.10415310003604819,0.052076550018024095,0.5207655001802409,0.21278478337364645

0.186,-0.257,9.655195305286181,0.10385546414516977,0.05192773207258489,0.5192773207258489,0.21217671324858184

0.186,-0.257,9.762232775031729,0.10356161402476473,0.051780807012382364,0.5178080701238237,0.21157637745259436

0.186,-0.257,9.869387077895093,0.10327147199654654,0.05163573599827327,0.5163573599827327,0.2109836172889446

0.186,-0.257,9.976654639794408,0.10298496245568838,0.05149248122784419,0.5149248122784419,0.21039827829697139

0.186,-0.257,10.084031985788153,0.10270201183014452,0.05135100591507226,0.5135100591507226,0.20982021016898528

0.186,-0.257,10.191515733064335,0.1024225485254978,0.0512112742627489,0.512112742627489,0.20924926663759202

0.186,-0.257,10.299102604120772,0.1021465028201439,0.05107325141007195,0.5107325141007195,0.208685305261554

0.186,-0.257,10.40678940497329,0.10187380685421554,0.05093690342710777,0.5093690342710777,0.20812818740316236

